#,Player,Age,Market value,Name,Position
7,Cristiano Ronaldo Centre-Forward,29.0,120000000,Cristiano Ronaldo,CF
1,Rui Patrício Goalkeeper,26.0,20000000,Rui Patrício,GK
5,Fábio Coentrão Left-Back,26.0,20000000,Fábio Coentrão,LB
8,João Moutinho Central Midfield,28.0,20000000,João Moutinho,CM
14,William Carvalho Defensive Midfield,22.0,20000000,William Carvalho,DM
3,Pepe Centre-Back,31.0,15000000,Pepe,CB
17,Nani Left Winger,28.0,12000000,Nani,LW
15,André Gomes Central Midfield,21.0,12000000,André Gomes,CM
10,Danny Attacking Midfield,31.0,10000000,Danny,AM
4,Miguel Veloso Defensive Midfield,28.0,8500000,Miguel Veloso,DM
18,Adrien Silva Central Midfield,25.0,8500000,Adrien Silva,CM
21,Cédric Soares Right-Back,23.0,7500000,Cédric Soares,RB
