#,Player,Age,Market value,Name,Position,search_results
7,Cristiano Ronaldo Centre-Forward,31.0,110000000,Cristiano Ronaldo,CF,9130106
10,João Mário Central Midfield,23.0,35000000,João Mário,CM,7127763
16,Renato Sanches Central Midfield,19.0,30000000,Renato Sanches,CM,966843
15,André Gomes Central Midfield,23.0,30000000,André Gomes,CM,2474776
14,William Carvalho Defensive Midfield,24.0,30000000,William Carvalho,DM,1613133
23,Adrien Silva Central Midfield,27.0,25000000,Adrien Silva,CM,533033
11,Bernardo Silva Attacking Midfield,22.0,20000000,Bernardo Silva,AM,4270476
24,João Cancelo Right-Back,22.0,20000000,João Cancelo,RB,212197
5,Raphaël Guerreiro Left-Back,23.0,18000000,Raphaël Guerreiro,LB,60170
1,Rui Patrício Goalkeeper,28.0,16000000,Rui Patrício,GK,1019979
17,Nani Left Winger,30.0,15000000,Nani,LW,600935
8,João Moutinho Central Midfield,30.0,15000000,João Moutinho,CM,938952
